,arabic,english
510,وأخيرًا وجدت مفاتيحها المفقودة.,She finally found her missing keys.
511,إحدى حقائبي مفقودة.,One of my bags is missing.
512,لربما تمطر غداً.,It might rain tomorrow.
513,فجأة هطل المطر.,"Suddenly, the rain fell."
514,أستمطر اليوم؟,Will it rain today?
515,هل ستمطر اليوم؟,Will it rain today?
516,ستمطر الليلة.,It will rain tonight.
517,ربما ستمطر الليلة.,It may rain tonight.
518,هل ستمطر غداً؟,Will it rain tomorrow?
519,ربما ستمطر غداً.,It may rain tomorrow.
520,فجأة بدأ المطر بالهطول.,Suddenly rain began to fall.
521,أصبح المطر ثلجاً.,The rain changed into snow.
522,استمر المطر بالهطول لمدة أربعة أيام.,The rain lasted four days.
523,استمر المطر أسبوعاً.,The rain lasted a week.
524,استمر المطر خمسة أيام.,The rain lasted five days.
525,استمر المطر بالهطول طوال اليوم.,The rain continued all day.
526,أفسد المطر نزهتنا.,The rain spoiled our picnic.
527,ستمطر.,It is going to rain.
528,استمر المطر ثلاثة أيام.,The rain lasted three days.
529,أخيراً توقف المطر.,The rain stopped at last.
530,سأحضر منشفة أخرى.,I'll bring one more towel.
531,سأحضر فوطة أخرى.,I'll bring one more towel.
532,لا يعرف أحد عنوانه إلّا توم.,No one knows his address but Tom.
533,سُأِل كل طالب سؤالاً واحداً.,Every pupil was asked one question.
534,واحد منّا سيضطر للرحيل.,One of us will have to go.
535,إنها مئة دولار.,It was a one hundred dollar bill.
536,إنها ورقة نقدية من فئة المئة دولار.,It was a one hundred dollar bill.
537,إنها ورقة نقدية من فئة المائة دولار.,It was a one hundred dollar bill.
538,لَخِّص التقرير في صفحة.,Boil down the report to one page.
539,يزن الطرد أكثر من باوند.,The parcel weighs more than one pound.
540,لا يستطيع أحد أن ينكر هذا.,No one can deny the fact.
541,لا يستطيع أحد أن ينكر هذا.,No one could deny this.
542,نجا من الحادثة شخص واحد.,Only one person survived the accident.
543,الكلب أعور.,The dog is blind in one eye.
544,سآخذ الأصفر.,I'll take the yellow one.
545,سآخذ الصفراء.,I'll take the yellow one.
546,يتسع الفندق لمئة شخص.,The hotel has accommodation for one hundred.
547,إحدى الحقائب فارغة تماماً.,One of the suitcases is completely empty.
548,أحد الولدين يعرف ذلك.,One of these two boys knows that.
549,أقلعت الطائرات النفاثة واحدة تلو الأخرى.,The jets took off one after another.
550,إتحدت الدول الثلاث ليكوّنوا دولة واحدة.,These three countries were united into one.
551,إتحدت الدول الثلاث ليكوّنوا دولة واحدة.,The three countries were united to make one country.
552,كان ذلك أمله الوحيد.,This was his one and only hope.
553,هذا سؤال مهم جداً.,This question is one of great importance.
554,هذا الكتاب أقدم من ذاك.,This book is older than that one.
555,هذا الحيوان أكبر من ذاك.,This animal is bigger than that one.
556,عرض هذا النهر ميل.,This river is one mile across.
557,أداء هذه السيارة أفضل من تلك.,This car has a better performance than that one.
558,هذه السيارة أكبر من تلك.,This car is bigger than that one.
559,كنت أمتلك سيارة نيسان قبل أن أمتلك هذه.,I had a Nissan before this one.
560,هذا القاموس أفضل من ذاك.,This dictionary is superior to that one.
561,هذه الساعة أفضل من تلك.,This watch is superior to that one.
562,أعيش في الطابق الأرضي.,I live on the bottom floor.
563,اطمأن والدا توم عندما سمعا بأنه بخير.,John's parents seemed relieved to hear that he was safe.
564,كان زوجي الأخير غبيًا بالفعل.,My last husband was really stupid.
565,ذهب للمتجر في آخر لحظة، قبل الإغلاق بقليل.,"He went to the store at the last minute, just before it closed."
566,إنه آخر من أطلب منه المساعدة فهو شخص لا يعتمد عليه.,"He's the last person I would ask help from, because he is completely unreliable."
567,استمرت الخطبة ثلاثين دقيقة.,The speech lasted thirty minutes.
568,دامت الخطبة ثلاثين دقيقة.,The speech lasted thirty minutes.
569,استمر الجو الممطر عشرة أيام متواصلة.,The rainy weather lasted for ten days straight.
570,نعم، سيكفي الحليب حتى يوم الجمعة.,"Yes, the milk will last till Friday."
571,إنه مريض.,He is ill.
572,إنه مريض.,He is sick.
573,إنه مريض.,It's sick.
574,ستبدأ المسرحية في الساعة الثامنة.,The play is at eight o'clock.
575,لقد زرت روما.,I have been to Rome.
576,إنها تتناول العشاء.,She is having dinner.
577,سنلعب التنس في عطلة نهاية الأسبوع.,We are playing tennis this weekend.
578,سُرقت محفظتي بالأمس.,My wallet was stolen yesterday.
579,نساء فرنسا جميلات.,The women of France are beautiful.
580,أحد أعمامي طبيب.,An uncle of mine is a doctor.
581,السكرتيرة متعبة من الطباعة.,The secretary is tired of typing.
582,هناك وحش تحت سريري.,There's a monster under my bed.
583,هناك بعبع تحت سريري.,There's a boogeyman under my bed.
584,مشى إلى البيت.,He walked to the house.
585,ذهب إلى الدكان.,He went to the shop.
586,ذهب إلى الدكان.,He went to the store.
587,ذهب إلى المحل التجاري.,He went to the shop.
588,ذهب إلى المتجر.,He went to the shop.
589,تتراوح درجة الحرارة في الصيف من ثلاثين إلى أربعين درجة.,"In the summer, the temperature ranges from thirty to forty degrees Celsius."
590,فاز فريق مانتشستر يونايتد بأربعة أهداف مقابل إثنين.,"Manchester United won the match, four to two."
591,إلى أين أنت ذاهب؟,Where are you going to?
592,إلى أين أنت ذاهب؟,Where are you going?
593,أنا أحبك.,I love you.
594,أحبك.,I love you.
595,أحبك.,I do love you.
596,أحبك.,I like you.
597,أحب أكل اللازانيا.,I love lasagna.
598,أحب الرحلات.,I love trips.
599,الحب أعمى.,Love is by nature blind.
600,الحب أعمى.,Love is blind.
601,الحب و السلام.,Love and Peace.
602,هل يحب الجميع الموسيقى؟,Does everybody love music?
603,أحِبَّ جيرانك.,Love your neighbors.
604,أحب هذه الصورة.,I love this picture.
605,أتحبني؟,Do you love me?
606,الحب لا يرى عيوباً.,Love sees no faults.
607,الطفل يحتاج الى الحنان.,A child needs love.
608,نحن نحب بعضنا البعض.,We love each other.
609,أحب هذا الإعلان التلفزيوني.,I love that commercial.
610,أحب الأفلام الأمريكية.,I love American movies.
611,أحب مشاهدة مبارايات كرة السلة.,I love watching basketball.
612,أحب الأفلام الفرنسية.,I love French films.
613,أحب الأفلام الفرنسية.,I love French movies.
614,أحب قصص الغرام.,I like love stories.
615,أعشق موسيقى الروك.,I love rock.
616,أحب قراءة الكتب.,I love reading books.
617,أحبها.,I love her.
618,أحب القصص المصورة.,I love comic books.
619,أنا أيضاً أحب الموسيقى.,"I love music, too."
620,نحن نحب أولادنا.,We love our children.
621,الناس يحبون الحرية.,People love freedom.
622,هل هذا هو الحب؟,Is this love?
623,أحب الرقص.,I love to dance.
624,أحب أن أرقص.,I love to dance.
625,ابق هنا معنا.,Stay here with us.
626,ابق معنا.,Stay here with us.
627,خذني معك.,Take me with you.
628,عادةً ما تشرب أختي الكبيرة الشاي مع الحليب.,My older sister often drinks tea with milk.
629,لا ليس معي.,"No, I don't have it with me."
630,تعال معنا.,Come along.
631,تعال معنا.,Come with us.
632,أكنت مع أحد؟,Were you with anyone?
633,أكنت مع أحدهم؟,Were you with anyone?
634,أوافقك الرأي.,I agree with you.
635,يلعب الأولاد باللعب.,Children play with toys.
636,اجلس معي.,Sit down with me.
637,أنا اختلف معك في الرأي.,I disagree with you.
638,لا أوافقك الرأي.,I don't agree with you.
639,لا أوافقك الرأي.,I disagree with you.
640,أختلف معك.,I disagree with you.
641,ألعب معه.,I play with him.
642,أعمل معه.,I work with him.
643,أوافقه الرأي.,I agree with him.
644,أوافقه الرأي.,I agree with his opinion.
645,وافقتها الرأي.,I agreed with her.
646,تسقط الحكومة!,Down with the Government!
647,النهار يتبع الليل.,Day alternates with night.
648,انفجر غاضباً.,He exploded with anger.
649,سلم عليه.,Shake hands with him.
650,صرخ ألماً.,He yelled with pain.
651,اضحك معهم.,Laugh with them.
652,ارتجفت خوفاً.,She trembled with fear.
653,صرخت رعباً.,She screamed with terror.
654,تخرجت بإمتياز.,She graduated with honors.
655,أجابت باكيةً.,She answered with tears.
656,كان واضحاً كالشمس أن شنجي سيموت من الجوع.,It was as clear as day that Shinji would die from hunger.
657,جميلة كالوردة.,It's as lovely as a rose.
658,امش بأسرع ما يمكنك.,Walk as fast as possible.
659,بارد كالثلج.,It's as cold as ice.
660,كيوتو ليست كبيرة كأوساكا.,Kyoto is not as large as Osaka.
661,مج بطول كن.,Meg is as tall as Ken.
662,ماري ليست بطوله.,Mary is not as tall as he.
663,"متى ستعود؟ ""يعتمد ذلك على الجو.""","When will you be back? ""It all depends on the weather."""
664,لا أفهم.,I do not understand.
665,لا أفهم.,I don't understand.
